# second T derivative of pressure for QED , [d2p^{(n)}/dT2] = MeV^2 (n = order of perturbative correction)
# results from Escudero, Jackson, Laine and Sandner ArXiv:2511.04747 with me = 0.51099895 MeV, alpha = 1/137.035999084
# columns: T_ga [MeV],   d2p^{(0)}/dT2,   d2p^{(2)non-log}/dT2,   d2p^{(2)log}/dT2,   d2p^{(3)}/dT2,   d2p^{(4)}/dT2,   d2p^{(5)}/dT2
 0.000000000000e+00   +0.000000000000e+00   +0.0000e+00   +0.0000e+00   +0.0000e+00   +0.0000e+00   +0.0000e+00
 5.000000000000e-03   +1.096622711232e-07   -2.2256e-47   +6.9058e-89   +3.4356e-67   -8.8202e-10   -1.1681e-10
 5.004496068067e-03   +1.099583666380e-07   -2.4387e-47   +8.2830e-89   +3.9352e-67   -8.8361e-10   -1.1702e-10
 5.008996179059e-03   +1.102552616306e-07   -2.6719e-47   +9.9332e-89   +4.5068e-67   -8.8520e-10   -1.1723e-10
 5.013500336613e-03   +1.105529582597e-07   -2.9272e-47   +1.1910e-88   +5.1608e-67   -8.8679e-10   -1.1744e-10
 5.018008544366e-03   +1.108514586897e-07   -3.2066e-47   +1.4278e-88   +5.9090e-67   -8.8839e-10   -1.1765e-10
 5.022520805962e-03   +1.111507650910e-07   -3.5123e-47   +1.7115e-88   +6.7648e-67   -8.8999e-10   -1.1787e-10
 5.027037125044e-03   +1.114508796397e-07   -3.8470e-47   +2.0511e-88   +7.7436e-67   -8.9159e-10   -1.1808e-10
 5.031557505262e-03   +1.117518045179e-07   -4.2131e-47   +2.4577e-88   +8.8630e-67   -8.9319e-10   -1.1829e-10
 5.036081950267e-03   +1.120535419135e-07   -4.6138e-47   +2.9444e-88   +1.0143e-66   -8.9480e-10   -1.1850e-10
 5.040610463715e-03   +1.123560940204e-07   -5.0521e-47   +3.5269e-88   +1.1606e-66   -8.9641e-10   -1.1872e-10
 5.045143049263e-03   +1.126594630383e-07   -5.5316e-47   +4.2240e-88   +1.3279e-66   -8.9802e-10   -1.1893e-10
 5.049679710575e-03   +1.129636511731e-07   -6.0561e-47   +5.0581e-88   +1.5191e-66   -8.9964e-10   -1.1914e-10
 5.054220451314e-03   +1.132686606363e-07   -6.6298e-47   +6.0559e-88   +1.7376e-66   -9.0126e-10   -1.1936e-10
 5.058765275149e-03   +1.135744936455e-07   -7.2573e-47   +7.2493e-88   +1.9873e-66   -9.0288e-10   -1.1957e-10
 5.063314185751e-03   +1.138811524245e-07   -7.9435e-47   +8.6765e-88   +2.2727e-66   -9.0450e-10   -1.1979e-10
 5.067867186796e-03   +1.141886392028e-07   -8.6939e-47   +1.0383e-87   +2.5986e-66   -9.0613e-10   -1.2000e-10
 5.072424281961e-03   +1.144969562161e-07   -9.5144e-47   +1.2423e-87   +2.9710e-66   -9.0776e-10   -1.2022e-10
 5.076985474928e-03   +1.148061057062e-07   -1.0412e-46   +1.4861e-87   +3.3963e-66   -9.0939e-10   -1.2044e-10
 5.081550769382e-03   +1.151160899206e-07   -1.1392e-46   +1.7776e-87   +3.8820e-66   -9.1103e-10   -1.2065e-10
 5.086120169011e-03   +1.154269111133e-07   -1.2464e-46   +2.1258e-87   +4.4366e-66   -9.1267e-10   -1.2087e-10
 5.090693677506e-03   +1.157385715442e-07   -1.3636e-46   +2.5418e-87   +5.0699e-66   -9.1431e-10   -1.2109e-10
 5.095271298563e-03   +1.160510734791e-07   -1.4917e-46   +3.0387e-87   +5.7928e-66   -9.1595e-10   -1.2131e-10
 5.099853035878e-03   +1.163644191904e-07   -1.6317e-46   +3.6322e-87   +6.6180e-66   -9.1760e-10   -1.2152e-10
 5.104438893154e-03   +1.166786109562e-07   -1.7847e-46   +4.3410e-87   +7.5599e-66   -9.1925e-10   -1.2174e-10
 5.109028874096e-03   +1.169936510609e-07   -1.9519e-46   +5.1871e-87   +8.6347e-66   -9.2091e-10   -1.2196e-10
 5.113622982410e-03   +1.173095417950e-07   -2.1345e-46   +6.1973e-87   +1.4506e-65   -9.2256e-10   -1.2218e-10
 5.118221221810e-03   +1.176262854555e-07   -2.3341e-46   +7.4029e-87   +1.6564e-65   -9.2422e-10   -1.2240e-10
 5.122823596009e-03   +1.179438843451e-07   -2.5521e-46   +8.8416e-87   +1.8911e-65   -9.2589e-10   -1.2262e-10
