# entropy density for QED , [dp^{(n)}/dT] = MeV^3 (n = order of perturbative correction)
# results from Escudero, Jackson, Laine and Sandner ArXiv:2511.04747 with me = 0.51099895 MeV, alpha = 1/137.035999084
# columns: T_ga [MeV],   dp^{(0)}/dT,   dp^{(2)non-log}/dT,   dp^{(2)log}/dT,   dp^{(3)}/dT,   dp^{(4)}/dT,   dp^{(5)}/dT
 0.000000000000e+00   +0.000000000000e+00   +0.0000e+00   +0.0000e+00   +0.0000e+00   +0.0000e+00   +0.0000e+00
 5.000000000000e-03   +1.096622711232e-07   -1.0727e-51   +1.6892e-93   +1.6513e-71   -1.4700e-12   -1.9468e-13
 5.004496068067e-03   +1.099583666380e-07   -1.1775e-51   +2.0297e-93   +1.8948e-71   -1.4740e-12   -1.9521e-13
 5.008996179059e-03   +1.102552616306e-07   -1.2924e-51   +2.4385e-93   +2.1739e-71   -1.4780e-12   -1.9574e-13
 5.013500336613e-03   +1.105529582597e-07   -1.4184e-51   +2.9291e-93   +2.4938e-71   -1.4820e-12   -1.9627e-13
 5.018008544366e-03   +1.108514586897e-07   -1.5566e-51   +3.5178e-93   +2.8604e-71   -1.4860e-12   -1.9680e-13
 5.022520805962e-03   +1.111507650910e-07   -1.7081e-51   +4.2242e-93   +3.2805e-71   -1.4900e-12   -1.9733e-13
 5.027037125044e-03   +1.114508796397e-07   -1.8741e-51   +5.0715e-93   +3.7619e-71   -1.4940e-12   -1.9786e-13
 5.031557505262e-03   +1.117518045179e-07   -2.0562e-51   +6.0878e-93   +4.3133e-71   -1.4981e-12   -1.9839e-13
 5.036081950267e-03   +1.120535419135e-07   -2.2558e-51   +7.3066e-93   +4.9450e-71   -1.5021e-12   -1.9893e-13
 5.040610463715e-03   +1.123560940204e-07   -2.4745e-51   +8.7680e-93   +5.6685e-71   -1.5061e-12   -1.9947e-13
 5.045143049263e-03   +1.126594630383e-07   -2.7142e-51   +1.0520e-92   +6.4971e-71   -1.5102e-12   -2.0000e-13
 5.049679710575e-03   +1.129636511731e-07   -2.9768e-51   +1.2620e-92   +7.4459e-71   -1.5143e-12   -2.0055e-13
 5.054220451314e-03   +1.132686606363e-07   -3.2647e-51   +1.5136e-92   +8.5322e-71   -1.5184e-12   -2.0109e-13
 5.058765275149e-03   +1.135744936455e-07   -3.5800e-51   +1.8152e-92   +9.7757e-71   -1.5225e-12   -2.0163e-13
 5.063314185751e-03   +1.138811524245e-07   -3.9255e-51   +2.1764e-92   +1.1199e-70   -1.5266e-12   -2.0217e-13
 5.067867186796e-03   +1.141886392028e-07   -4.3040e-51   +2.6092e-92   +1.2828e-70   -1.5307e-12   -2.0272e-13
