#time (s)      Tγ/mϕ         Tν/Tγ           μν/Tγ             Tϕ/Tγ          μϕ/Tγ         H/Tγ2        rhotot/Tγ4      ptot/Tγ4      ρnu/Tγ4        ρϕ/Tγ4            pϕ/Tγ4            nnu/Tγ3        nϕ/Tγ3
1682.497      27.96627      0.7173009      -0.004130687      0.4799717      -2.075847      3.053462      1.112926      0.3709754      0.4547391      0.0002135728      0.00007112546      0.2012148      0.0001483094
1732.742      27.55781      0.7173407      -0.004313746      0.4800282      -2.055088      3.053462      1.112926      0.3709754      0.4547295      0.0002232352      0.00007434129      0.2012014      0.0001550025
1784.488      27.15531      0.7173821      -0.004504926      0.4800881      -2.034367      3.053462      1.112926      0.3709754      0.4547194      0.0002333281      0.00007770025      0.2011875      0.000161992
1837.779      26.7587      0.7174254      -0.004704583      0.4801516      -2.013683      3.053462      1.112926      0.3709754      0.4547088      0.0002438705      0.00008120862      0.2011729      0.0001692908
1892.662      26.36788      0.7174707      -0.004913084      0.4802186      -1.993037      3.053462      1.112926      0.3709754      0.4546978      0.0002548821      0.00008487294      0.2011576      0.0001769124
1949.183      25.98276      0.7175179      -0.005130815      0.4802892      -1.972429      3.053462      1.112926      0.3709754      0.4546863      0.0002663834      0.00008870006      0.2011417      0.0001848706
2007.393      25.60328      0.7175672      -0.005358178      0.4803637      -1.951859      3.053462      1.112926      0.3709753      0.4546743      0.0002783959      0.00009269708      0.2011251      0.0001931802
2067.34      25.22933      0.7176187      -0.005595589      0.480442      -1.931328      3.053462      1.112926      0.3709753      0.4546618      0.000290942      0.00009687141      0.2011077      0.0002018562
2129.078      24.86084      0.7176724      -0.005843484      0.4805243      -1.910836      3.053462      1.112926      0.3709753      0.4546487      0.000304045      0.0001012308      0.2010896      0.0002109145
2192.66      24.49774      0.7177285      -0.006102316      0.4806107      -1.890384      3.053462      1.112926      0.3709753      0.454635      0.0003177291      0.0001057833      0.2010707      0.0002203714
2258.14      24.13994      0.7177871      -0.006372556      0.4807013      -1.869971      3.053462      1.112926      0.3709753      0.4546207      0.0003320198      0.0001105372      0.2010509      0.0002302441
2325.576      23.78737      0.7178482      -0.006654697      0.4807963      -1.8496      3.053462      1.112926      0.3709753      0.4546058      0.0003469432      0.0001155014      0.2010303      0.0002405504
2395.026      23.43994      0.7179121      -0.00694925      0.4808957      -1.82927      3.053462      1.112926      0.3709753      0.4545902      0.000362527      0.000120685      0.2010088      0.0002513088
2466.55      23.09759      0.7179787      -0.007256747      0.4809998      -1.808982      3.053462      1.112926      0.3709753      0.454574      0.0003787997      0.0001260973      0.2009864      0.0002625386
2540.21      22.76024      0.7180482      -0.007577742      0.4811086      -1.788738      3.053462      1.112926      0.3709753      0.454557      0.0003957911      0.0001317484      0.2009629      0.0002742597
2616.069      22.42782      0.7181208      -0.007912811      0.4812224      -1.768537      3.053462      1.112926      0.3709753      0.4545392      0.0004135323      0.0001376484      0.2009385      0.0002864931
2694.194      22.10025      0.7181966      -0.008262554      0.4813412      -1.74838      3.053462      1.112926      0.3709753      0.4545207      0.0004320555      0.000143808      0.2009129      0.0002992604
2774.652      21.77747      0.7182757      -0.008627595      0.4814653      -1.72827      3.053462      1.112926      0.3709752      0.4545014      0.0004513944      0.0001502385      0.2008863      0.0003125841
2857.513      21.4594      0.7183582      -0.009008581      0.4815948      -1.708206      3.053462      1.112926      0.3709752      0.4544812      0.000471584      0.0001569513      0.2008585      0.0003264875
2942.848      21.14598      0.7184442      -0.009406187      0.4817299      -1.68819      3.053462      1.112926      0.3709752      0.4544602      0.0004926607      0.0001639586      0.2008294      0.0003409951
3030.732      20.83713      0.7185341      -0.009821113      0.4818709      -1.668223      3.053462      1.112926      0.3709752      0.4544382      0.0005146623      0.0001712728      0.2007992      0.0003561319
3121.24      20.5328      0.7186278      -0.01025409      0.4820179      -1.648306      3.053462      1.112926      0.3709752      0.4544152      0.0005376282      0.000178907      0.2007676      0.0003719243
3214.451      20.23291      0.7187255      -0.01070587      0.4821711      -1.62844      3.053462      1.112926      0.3709752      0.4543913      0.0005615995      0.0001868747      0.2007346      0.0003883993
3310.446      19.9374      0.7188275      -0.01117723      0.4823307      -1.608627      3.053462      1.112926      0.3709751      0.4543662      0.0005866187      0.0001951901      0.2007003      0.0004055852
3409.308      19.6462      0.7189339      -0.01166901      0.482497      -1.588869      3.053462      1.112927      0.3709751      0.4543402      0.0006127301      0.0002038677      0.2006644      0.0004235113
3511.121      19.35926      0.7190449      -0.01218203      0.4826703      -1.569166      3.053462      1.112927      0.3709751      0.4543129      0.0006399797      0.0002129228      0.200627      0.0004422079
3615.976      19.07651      0.7191606      -0.01271718      0.4828507      -1.54952      3.053462      1.112927      0.3709751      0.4542845      0.0006684153      0.0002223711      0.200588      0.0004617064
3723.961      18.79789      0.7192813      -0.01327537      0.4830385      -1.529933      3.053462      1.112927      0.3709751      0.4542549      0.0006980865      0.0002322291      0.2005474      0.0004820394
3835.172      18.52334      0.7194071      -0.01385755      0.483234      -1.510406      3.053462      1.112927      0.370975      0.4542239      0.0007290448      0.0002425138      0.200505      0.0005032406
3949.703      18.2528      0.7195384      -0.01446469      0.4834375      -1.490941      3.053462      1.112927      0.370975      0.4541916      0.0007613438      0.0002532428      0.2004607      0.0005253451
4067.655      17.98621      0.7196751      -0.0150978      0.4836493      -1.47154      3.053462      1.112927      0.370975      0.454158      0.000795039      0.0002644344      0.2004147      0.0005483889
4189.13      17.72351      0.7198177      -0.01575795      0.4838696      -1.452205      3.053462      1.112927      0.3709749      0.4541228      0.0008301879      0.0002761077      0.2003666      0.0005724095
4314.232      17.46465      0.7199664      -0.01644621      0.4840987      -1.432938      3.053462      1.112927      0.3709749      0.4540862      0.0008668504      0.0002882824      0.2003165      0.0005974455
4443.07      17.20957      0.7201213      -0.01716371      0.4843371      -1.41374      3.053462      1.112927      0.3709749      0.454048      0.0009050882      0.0003009788      0.2002644      0.0006235369
4575.755      16.95822      0.7202827      -0.01791162      0.484585      -1.394614      3.053463      1.112927      0.3709748      0.4540082      0.0009449655      0.0003142181      0.20021      0.0006507249
4712.403      16.71054      0.7204509      -0.01869115      0.4848427      -1.375562      3.053463      1.112927      0.3709748      0.4539666      0.0009865488      0.0003280221      0.2001533      0.0006790523
4853.132      16.46647      0.7206262      -0.01950352      0.4851107      -1.356587      3.053463      1.112927      0.3709747      0.4539233      0.001029907      0.0003424137      0.2000943      0.0007085629
4998.063      16.22597      0.7208087      -0.02035004      0.4853892      -1.337689      3.053463      1.112927      0.3709747      0.4538781      0.001075111      0.0003574162      0.2000328      0.000739302
5147.323      15.98899      0.7209989      -0.02123204      0.4856788      -1.318873      3.053463      1.112927      0.3709746      0.453831      0.001122235      0.0003730538      0.1999688      0.0007713165
5301.04      15.75546      0.7211969      -0.02215087      0.4859797      -1.300139      3.053463      1.112927      0.3709746      0.453782      0.001171355      0.0003893516      0.1999021      0.0008046545
5459.348      15.52535      0.7214031      -0.02310795      0.4862924      -1.281491      3.053463      1.112927      0.3709745      0.4537308      0.001222549      0.0004063356      0.1998327      0.0008393654
5622.383      15.29859      0.7216177      -0.02410475      0.4866172      -1.262932      3.053463      1.112927      0.3709744      0.4536775      0.0012759      0.0004240324      0.1997604      0.0008755001
5790.287      15.07515      0.7218412      -0.02514275      0.4869547      -1.244464      3.053463      1.112927      0.3709743      0.453622      0.00133149      0.0004424697      0.1996852      0.0009131111
5963.205      14.85497      0.7220738      -0.02622351      0.4873053      -1.226089      3.053463      1.112927      0.3709743      0.4535641      0.001389407      0.0004616759      0.1996069      0.0009522521
6141.287      14.63801      0.7223158      -0.02734861      0.4876695      -1.207811      3.053463      1.112927      0.3709742      0.4535039      0.001449741      0.0004816804      0.1995255      0.0009929781
6324.687      14.42421      0.7225676      -0.02851969      0.4880476      -1.189633      3.053463      1.112927      0.3709741      0.4534411      0.001512582      0.0005025135      0.1994407      0.001035346
6513.564      14.21354      0.7228295      -0.02973841      0.4884402      -1.171557      3.053463      1.112927      0.370974      0.4533757      0.001578027      0.0005242062      0.1993526      0.001079413
6708.082      14.00595      0.723102      -0.03100651      0.4888479      -1.153586      3.053464      1.112927      0.3709739      0.4533077      0.001646174      0.0005467906      0.199261      0.001125239
6908.409      13.80138      0.7233853      -0.03232573      0.489271      -1.135724      3.053464      1.112928      0.3709738      0.4532368      0.001717121      0.0005702997      0.1991657      0.001172884
7114.718      13.59981      0.7236798      -0.0336979      0.4897102      -1.117974      3.053464      1.112928      0.3709737      0.4531631      0.001790974      0.0005947672      0.1990666      0.00122241
7327.188      13.40118      0.7239859      -0.03512486      0.490166      -1.100339      3.053464      1.112928      0.3709735      0.4530863      0.001867838      0.000620228      0.1989637      0.00127388
7546.003      13.20545      0.724304      -0.03660849      0.490639      -1.082823      3.053464      1.112928      0.3709734      0.4530064      0.001947822      0.0006467176      0.1988567      0.001327358
7771.353      13.01258      0.7246345      -0.03815073      0.4911297      -1.065428      3.053464      1.112928      0.3709733      0.4529233      0.002031038      0.0006742726      0.1987456      0.00138291
8003.433      12.82252      0.7249777      -0.03975355      0.4916386      -1.048159      3.053464      1.112928      0.3709731      0.4528369      0.002117601      0.0007029304      0.1986302      0.001440601
8242.443      12.63524      0.7253342      -0.04141894      0.4921665      -1.031019      3.053465      1.112928      0.3709729      0.452747      0.002207627      0.0007327292      0.1985104      0.001500499
8488.592      12.4507      0.7257043      -0.04314894      0.492714      -1.014012      3.053465      1.112928      0.3709728      0.4526535      0.002301237      0.0007637082      0.1983861      0.001562673
8742.09      12.26885      0.7260884      -0.04494563      0.4932815      -0.9971408      3.053465      1.112929      0.3709726      0.4525564      0.002398554      0.0007959072      0.1982571      0.00162719
9003.16      12.08966      0.7264869      -0.04681111      0.4938699      -0.9804103      3.053465      1.112929      0.3709724      0.4524554      0.002499702      0.000829367      0.1981232      0.00169412
9272.025      11.91309      0.7269003      -0.0487475      0.4944797      -0.9638239      3.053465      1.112929      0.3709722      0.4523505      0.002604809      0.0008641291      0.1979844      0.001763534
9548.92      11.73909      0.727329      -0.05075695      0.4951117      -0.9473856      3.053466      1.112929      0.3709719      0.4522414      0.002714004      0.0009002356      0.1978404      0.001835502
9834.084      11.56764      0.7277734      -0.05284163      0.4957664      -0.9310994      3.053466      1.112929      0.3709717      0.4521282      0.002827421      0.0009377294      0.1976913      0.001910093
10127.76      11.39869      0.728234      -0.05500373      0.4964446      -0.9149695      3.053466      1.112929      0.3709714      0.4520107      0.002945193      0.0009766541      0.1975367      0.00198738
10430.21      11.2322      0.7287111      -0.05724544      0.497147      -0.899      3.053467      1.11293      0.3709711      0.4518886      0.003067455      0.001017054      0.1973766      0.002067431
10741.7      11.06815      0.7292053      -0.05956897      0.4978743      -0.8831952      3.053467      1.11293      0.3709708      0.451762      0.003194347      0.001058973      0.1972108      0.002150318
11062.48      10.9065      0.7297169      -0.06197651      0.4986273      -0.8675592      3.053467      1.11293      0.3709705      0.4516306      0.003326007      0.001102456      0.1970392      0.002236109
11392.85      10.7472      0.7302463      -0.06447025      0.4994066      -0.8520966      3.053468      1.112931      0.3709702      0.4514943      0.003462576      0.00114755      0.1968617      0.002324874
11733.08      10.59024      0.730794      -0.06705239      0.5002131      -0.8368116      3.053468      1.112931      0.3709698      0.451353      0.003604195      0.001194299      0.1966781      0.00241668
12083.47      10.43556      0.7313604      -0.06972508      0.5010474      -0.8217088      3.053469      1.112931      0.3709695      0.4512065      0.003751008      0.001242749      0.1964883      0.002511593
12444.32      10.28314      0.7319459      -0.07249046      0.5019104      -0.8067926      3.053469      1.112932      0.3709691      0.4510547      0.003903158      0.001292947      0.1962921      0.002609678
12815.95      10.13295      0.7325508      -0.07535062      0.5028028      -0.7920677      3.05347      1.112932      0.3709686      0.4508975      0.004060788      0.001344939      0.1960894      0.002710999
13198.68      9.984959      0.7331755      -0.07830763      0.5037254      -0.7775387      3.05347      1.112932      0.3709682      0.4507346      0.00422404      0.001398771      0.1958802      0.002815616
13592.84      9.839124      0.7338205      -0.08136347      0.5046789      -0.7632102      3.053471      1.112933      0.3709677      0.450566      0.00439306      0.001454487      0.1956643      0.002923586
13998.77      9.695419      0.7344859      -0.08452009      0.5056643      -0.749087      3.053471      1.112933      0.3709672      0.4503915      0.004567988      0.001512134      0.1954415      0.003034966
14416.82      9.553813      0.7351722      -0.08777934      0.5066822      -0.7351738      3.053472      1.112934      0.3709666      0.450211      0.004748965      0.001571757      0.1952118      0.003149808
14847.36      9.414275      0.7358796      -0.091143      0.5077335      -0.7214754      3.053473      1.112934      0.3709661      0.4500244      0.004936131      0.001633399      0.1949751      0.00326816
15290.75      9.276775      0.7366084      -0.09461275      0.508819      -0.7079968      3.053473      1.112935      0.3709655      0.4498314      0.005129622      0.001697104      0.1947313      0.003390067
15747.39      9.141284      0.7373589      -0.09819013      0.5099395      -0.6947427      3.053474      1.112935      0.3709648      0.4496321      0.005329575      0.001762915      0.1944803      0.003515568
16217.66      9.007771      0.7381312      -0.1018766      0.5110958      -0.6817181      3.053475      1.112936      0.3709641      0.4494261      0.005536119      0.001830874      0.194222      0.0036447
16701.97      8.876209      0.7389256      -0.1056734      0.5122888      -0.668928      3.053476      1.112937      0.3709634      0.4492135      0.005749384      0.001901019      0.1939565      0.003777492
17200.75      8.746567      0.7397422      -0.1095818      0.5135192      -0.6563774      3.053477      1.112937      0.3709626      0.4489941      0.005969493      0.001973391      0.1936835      0.00391397
17714.43      8.61882      0.740581      -0.1136026      0.5147878      -0.6440713      3.053478      1.112938      0.3709618      0.4487678      0.006196565      0.002048026      0.1934031      0.004054151
18243.44      8.492938      0.7414422      -0.1177368      0.5160956      -0.6320148      3.053479      1.112939      0.370961      0.4485344      0.006430715      0.002124959      0.1931153      0.004198048
18788.25      8.368894      0.7423257      -0.1219848      0.5174432      -0.620213      3.05348      1.11294      0.3709601      0.448294      0.00667205      0.002204224      0.1928201      0.004345665
19349.34      8.246663      0.7432315      -0.1263471      0.5188315      -0.6086711      3.053481      1.112941      0.3709591      0.4480462      0.006920671      0.002285851      0.1925174      0.004497001
19927.18      8.126216      0.7441595      -0.1308237      0.5202614      -0.5973942      3.053483      1.112941      0.3709581      0.4477912      0.007176674      0.002369869      0.1922074      0.004652044
20522.27      8.007529      0.7451096      -0.1354146      0.5217336      -0.5863875      3.053484      1.112943      0.3709571      0.4475287      0.007440144      0.002456305      0.1918899      0.004810776
21135.14      7.890575      0.7460816      -0.1401194      0.5232489      -0.5756564      3.053486      1.112944      0.370956      0.4472588      0.007711161      0.002545181      0.1915651      0.00497317
21766.31      7.775329      0.7470751      -0.1449373      0.5248083      -0.565206      3.053487      1.112945      0.3709548      0.4469813      0.007989792      0.002636517      0.1912331      0.005139189
22416.32      7.661766      0.7480899      -0.1498675      0.5264123      -0.5550419      3.053489      1.112946      0.3709536      0.4466962      0.008276098      0.002730329      0.1908939      0.005308788
23085.75      7.549862      0.7491255      -0.1549086      0.528062      -0.5451694      3.053491      1.112947      0.3709523      0.4464035      0.008570126      0.002826632      0.1905476      0.005481909
23775.17      7.439593      0.7501814      -0.1600589      0.529758      -0.5355938      3.053493      1.112949      0.370951      0.4461031      0.008871916      0.002925435      0.1901945      0.005658488
24485.18      7.330934      0.7512571      -0.1653165      0.5315012      -0.5263208      3.053494      1.11295      0.3709496      0.4457949      0.009181492      0.003026742      0.1898345      0.005838447
25216.4      7.223861      0.752352      -0.1706789      0.5332924      -0.5173559      3.053497      1.112952      0.3709481      0.4454791      0.009498868      0.003130556      0.189468      0.006021697
25969.45      7.118353      0.7534652      -0.1761434      0.5351324      -0.5087048      3.053499      1.112953      0.3709466      0.4451555      0.009824046      0.003236874      0.1890952      0.00620814
26744.99      7.014385      0.7545961      -0.1817067      0.537022      -0.500373      3.053501      1.112955      0.370945      0.4448243      0.01015701      0.003345689      0.1887161      0.006397666
27543.68      6.911937      0.7557437      -0.1873654      0.538962      -0.4923664      3.053504      1.112957      0.3709433      0.4444854      0.01049774      0.003456988      0.1883311      0.006590152
28366.23      6.810984      0.756907      -0.1931152      0.5409531      -0.4846909      3.053506      1.112959      0.3709416      0.4441389      0.01084618      0.003570755      0.1879405      0.006785464
29213.35      6.711506      0.7580849      -0.1989517      0.5429963      -0.4773523      3.053509      1.112961      0.3709398      0.4437848      0.01120229      0.003686968      0.1875445      0.006983456
30085.76      6.61348      0.7592763      -0.20487      0.5450923      -0.4703567      3.053512      1.112963      0.3709379      0.4434232      0.01156599      0.003805601      0.1871435      0.007183972
30984.23      6.516887      0.76048      -0.2108647      0.5472419      -0.4637101      3.053515      1.112965      0.3709359      0.4430543      0.01193719      0.003926621      0.1867378      0.007386841
31909.52      6.421703      0.7616944      -0.2169297      0.5494459      -0.4574188      3.053518      1.112967      0.3709339      0.442678      0.01231579      0.004049991      0.1863277      0.007591884
32862.45      6.327911      0.7629184      -0.2230589      0.5517052      -0.4514891      3.053522      1.11297      0.3709318      0.4422947      0.01270166      0.004175668      0.1859136      0.007798906
33843.84      6.235488      0.7641501      -0.2292453      0.5540206      -0.4459273      3.053525      1.112973      0.3709296      0.4419043      0.01309467      0.004303604      0.185496      0.008007705
34854.54      6.144414      0.7653882      -0.2354816      0.5563929      -0.4407398      3.053529      1.112975      0.3709273      0.4415071      0.01349466      0.004433746      0.1850753      0.008218067
35895.41      6.054671      0.7666307      -0.2417601      0.5588229      -0.4359334      3.053533      1.112978      0.370925      0.4411032      0.01390146      0.004566034      0.1846519      0.008429767
36967.38      5.966239      0.7678761      -0.2480725      0.5613115      -0.4315145      3.053537      1.112981      0.3709226      0.4406928      0.01431489      0.004700405      0.1842263      0.008642571
38071.35      5.879098      0.7691222      -0.2544102      0.5638595      -0.4274899      3.053542      1.112985      0.3709201      0.4402762      0.01473473      0.004836789      0.183799      0.008856235
39208.29      5.79323      0.7703673      -0.2607641      0.5664677      -0.4238665      3.053546      1.112988      0.3709175      0.4398536      0.01516076      0.00497511      0.1833704      0.009070507
40379.19      5.708616      0.7716093      -0.2671247      0.5691369      -0.420651      3.053551      1.112992      0.3709149      0.4394251      0.01559276      0.005115289      0.1829412      0.009285128
41585.05      5.625237      0.7728462      -0.2734823      0.5718681      -0.4178503      3.053556      1.112995      0.3709122      0.4389911      0.01603046      0.00525724      0.1825118      0.009499833
42826.93      5.543077      0.7740757      -0.2798267      0.5746619      -0.4154713      3.053562      1.112999      0.3709094      0.4385519      0.01647359      0.005400874      0.1820827      0.009714349
44105.89      5.462116      0.7752957      -0.2861474      0.5775191      -0.4135209      3.053567      1.113003      0.3709065      0.4381077      0.01692188      0.005546097      0.1816546      0.009928401
45423.04      5.382338      0.7765041      -0.2924339      0.5804405      -0.4120058      3.053573      1.113007      0.3709036      0.4376588      0.01737502      0.005692809      0.181228      0.01014171
46779.53      5.303724      0.7776985      -0.2986752      0.5834269      -0.4109327      3.053579      1.113012      0.3709006      0.4372056      0.01783272      0.00584091      0.1808034      0.010354
48176.53      5.226259      0.7788768      -0.3048603      0.5864788      -0.4103082      3.053586      1.113017      0.3708976      0.4367483      0.01829464      0.005990292      0.1803815      0.01056498
49615.25      5.149925      0.7800366      -0.3109784      0.589597      -0.4101386      3.053592      1.113021      0.3708945      0.4362874      0.01876046      0.006140846      0.1799627      0.01077438
51096.94      5.074706      0.7811759      -0.3170182      0.5927819      -0.4104299      3.053599      1.113027      0.3708914      0.4358231      0.01922984      0.00629246      0.1795476      0.01098191
52622.87      5.000586      0.7822924      -0.3229689      0.5960341      -0.4111879      3.053607      1.113032      0.3708882      0.4353558      0.01970243      0.00644502      0.1791368      0.01118732
54194.37      4.927548      0.7833839      -0.3288196      0.5993538      -0.4124178      3.053614      1.113037      0.3708849      0.4348859      0.02017787      0.006598408      0.1787308      0.01139032
55812.81      4.855577      0.7844485      -0.3345598      0.6027414      -0.4141245      3.053622      1.113043      0.3708816      0.4344137      0.02065581      0.006752507      0.1783301      0.01159066
57479.57      4.784657      0.785484      -0.3401792      0.606197      -0.4163121      3.05363      1.113049      0.3708783      0.4339396      0.02113588      0.006907196      0.1779352      0.0117881
59196.11      4.714772      0.7864886      -0.3456679      0.6097204      -0.4189841      3.053639      1.113055      0.3708749      0.4334639      0.02161772      0.007062357      0.1775467      0.01198239
60963.91      4.645908      0.7874605      -0.3510165      0.6133115      -0.4221429      3.053648      1.113062      0.3708715      0.4329872      0.02210095      0.007217867      0.1771648      0.01217331
62784.51      4.57805      0.7883981      -0.3562163      0.6169698      -0.4257903      3.053657      1.113068      0.370868      0.4325096      0.02258522      0.007373607      0.1767901      0.01236065
64659.47      4.511183      0.7892998      -0.361259      0.6206947      -0.4299268      3.053666      1.113075      0.3708645      0.4320316      0.02307016      0.007529457      0.176423      0.01254421
