# Standard Model Evolution for 1 keV < T < 10 MeV as calculated in Escudero 2001.04466, JCAP 05 (2020) 048
# Includes NLO-QED thermal corrections, and the electron mass and spin-statistics in the collision terms
# Neff          = 3.045
# O_nu/mnu (eV) = 93.05
# s0 (cm^-3)    = 2907.3
# g_s0          = 3.931
# g_*0          = 3.383
# Definitions: a is the dimensionless scale factor, z_gam = a T_gam/m_e , z_nu = a T_nu/m_e, N is defined in Eq A.17 of 2001.04466
# t (s)        T_gam (MeV)    T_gam/T_nu     g*             gs             a              z_gam          z_nu           N              
7.3866869E-03  1.0000000E+01  1.0000004E+00  1.0736124E+01  1.0735804E+01  5.1101224E-02  1.0000240E+00  1.0000236E+00  4.0658878E-04    
7.5240222E-03  9.9083194E+00  1.0000004E+00  1.0736112E+01  1.0735786E+01  5.1574087E-02  1.0000245E+00  1.0000241E+00  4.1398986E-04    
7.6639110E-03  9.8174794E+00  1.0000004E+00  1.0736099E+01  1.0735768E+01  5.2051327E-02  1.0000251E+00  1.0000247E+00  4.2149652E-04    
7.8064008E-03  9.7274722E+00  1.0000005E+00  1.0736086E+01  1.0735749E+01  5.2532983E-02  1.0000257E+00  1.0000252E+00  4.2913245E-04    
7.9515399E-03  9.6382902E+00  1.0000005E+00  1.0736073E+01  1.0735729E+01  5.3019096E-02  1.0000263E+00  1.0000258E+00  4.3692285E-04    
8.0993777E-03  9.5499259E+00  1.0000005E+00  1.0736060E+01  1.0735710E+01  5.3509708E-02  1.0000269E+00  1.0000264E+00  4.4484402E-04    
8.2499642E-03  9.4623716E+00  1.0000005E+00  1.0736046E+01  1.0735690E+01  5.4004861E-02  1.0000275E+00  1.0000270E+00  4.5289636E-04    
8.4033507E-03  9.3756201E+00  1.0000006E+00  1.0736032E+01  1.0735669E+01  5.4504596E-02  1.0000282E+00  1.0000276E+00  4.6108226E-04    
8.5595891E-03  9.2896639E+00  1.0000006E+00  1.0736018E+01  1.0735649E+01  5.5008957E-02  1.0000288E+00  1.0000282E+00  4.6941236E-04    
8.7187325E-03  9.2044957E+00  1.0000006E+00  1.0736004E+01  1.0735627E+01  5.5517985E-02  1.0000295E+00  1.0000289E+00  4.7788658E-04    
8.8808350E-03  9.1201084E+00  1.0000006E+00  1.0735989E+01  1.0735606E+01  5.6031724E-02  1.0000301E+00  1.0000295E+00  4.8651141E-04    
9.0459515E-03  9.0364947E+00  1.0000007E+00  1.0735974E+01  1.0735584E+01  5.6550218E-02  1.0000308E+00  1.0000302E+00  4.9528565E-04    
9.2141382E-03  8.9536477E+00  1.0000007E+00  1.0735959E+01  1.0735561E+01  5.7073511E-02  1.0000315E+00  1.0000308E+00  5.0419691E-04    
9.3854520E-03  8.8715601E+00  1.0000007E+00  1.0735943E+01  1.0735538E+01  5.7601646E-02  1.0000322E+00  1.0000315E+00  5.1327473E-04    
