# Standard Model Evoultion for 1 keV < T < 10 MeV as calculated in Escudero 2001.04466, JCAP 05 (2020) 048
# Includes NLO-QED thermal corrections, and the electron mass and spin-statistics in the collision terms
# Neff          = 3.044
# O_nu/mnu (eV) = 93.07
# s0 (cm^-3)    = 2906.92
# g_s0          = 3.930
# g_*0          = 3.383
# Definitions: a is the dimensionless scale factor, z_gam = a T_gam/m_e , z_nu = a T_nu/m_e, N is defined in Eq A.17 in 2001.04466
# t (s)        T_gam (MeV)    T_gam/T_nue    T_gam/T_numu   g*             gs             a              z_gam          z_nue          z_numu         N              
7.3866873E-03  1.0000000E+01  1.0000003E+00  1.0000005E+00  1.0736123E+01  1.0735804E+01  5.1101226E-02  1.0000240E+00  1.0000236E+00  1.0000235E+00  4.0549926E-04  
7.5240227E-03  9.9083194E+00  1.0000004E+00  1.0000005E+00  1.0736110E+01  1.0735785E+01  5.1574089E-02  1.0000246E+00  1.0000242E+00  1.0000240E+00  4.1283756E-04  
7.6639115E-03  9.8174794E+00  1.0000004E+00  1.0000006E+00  1.0736098E+01  1.0735767E+01  5.2051328E-02  1.0000251E+00  1.0000248E+00  1.0000246E+00  4.2030343E-04  
7.8064013E-03  9.7274722E+00  1.0000004E+00  1.0000006E+00  1.0736085E+01  1.0735748E+01  5.2532984E-02  1.0000257E+00  1.0000253E+00  1.0000251E+00  4.2789836E-04  
7.9515405E-03  9.6382902E+00  1.0000004E+00  1.0000006E+00  1.0736072E+01  1.0735728E+01  5.3019098E-02  1.0000263E+00  1.0000259E+00  1.0000257E+00  4.3562379E-04  
8.0993783E-03  9.5499259E+00  1.0000004E+00  1.0000007E+00  1.0736058E+01  1.0735709E+01  5.3509710E-02  1.0000269E+00  1.0000265E+00  1.0000263E+00  4.4348013E-04  
8.2499649E-03  9.4623716E+00  1.0000005E+00  1.0000007E+00  1.0736045E+01  1.0735689E+01  5.4004863E-02  1.0000276E+00  1.0000271E+00  1.0000269E+00  4.5147230E-04  
8.4033514E-03  9.3756201E+00  1.0000005E+00  1.0000007E+00  1.0736031E+01  1.0735668E+01  5.4504599E-02  1.0000282E+00  1.0000277E+00  1.0000275E+00  4.5960098E-04  
8.5595898E-03  9.2896639E+00  1.0000005E+00  1.0000008E+00  1.0736016E+01  1.0735647E+01  5.5008959E-02  1.0000288E+00  1.0000283E+00  1.0000281E+00  4.6786641E-04  
8.7187333E-03  9.2044957E+00  1.0000005E+00  1.0000008E+00  1.0736002E+01  1.0735626E+01  5.5517988E-02  1.0000295E+00  1.0000290E+00  1.0000287E+00  4.7627288E-04  
8.8808359E-03  9.1201084E+00  1.0000005E+00  1.0000008E+00  1.0735987E+01  1.0735604E+01  5.6031727E-02  1.0000302E+00  1.0000296E+00  1.0000294E+00  4.8482359E-04  
9.0459524E-03  9.0364947E+00  1.0000006E+00  1.0000009E+00  1.0735972E+01  1.0735582E+01  5.6550221E-02  1.0000309E+00  1.0000303E+00  1.0000300E+00  4.9351637E-04  
9.2141391E-03  8.9536477E+00  1.0000006E+00  1.0000009E+00  1.0735957E+01  1.0735560E+01  5.7073514E-02  1.0000316E+00  1.0000310E+00  1.0000307E+00  5.0235410E-04  
9.3854530E-03  8.8715601E+00  1.0000006E+00  1.0000009E+00  1.0735941E+01  1.0735537E+01  5.7601649E-02  1.0000323E+00  1.0000317E+00  1.0000313E+00  5.1134359E-04  
9.5599522E-03  8.7902252E+00  1.0000007E+00  1.0000010E+00  1.0735925E+01  1.0735513E+01  5.8134673E-02  1.0000330E+00  1.0000324E+00  1.0000320E+00  5.2048337E-04  
9.7376961E-03  8.7096359E+00  1.0000007E+00  1.0000010E+00  1.0735909E+01  1.0735489E+01  5.8672630E-02  1.0000337E+00  1.0000331E+00  1.0000327E+00  5.2977827E-04  
9.9187448E-03  8.6297855E+00  1.0000007E+00  1.0000011E+00  1.0735892E+01  1.0735465E+01  5.9215566E-02  1.0000345E+00  1.0000338E+00  1.0000334E+00  5.3922471E-04  
1.0103160E-02  8.5506671E+00  1.0000008E+00  1.0000011E+00  1.0735875E+01  1.0735440E+01  5.9763527E-02  1.0000353E+00  1.0000345E+00  1.0000341E+00  5.4882824E-04  
1.0291004E-02  8.4722741E+00  1.0000008E+00  1.0000012E+00  1.0735858E+01  1.0735415E+01  6.0316559E-02  1.0000361E+00  1.0000353E+00  1.0000349E+00  5.5858944E-04  
1.0482341E-02  8.3945999E+00  1.0000008E+00  1.0000012E+00  1.0735840E+01  1.0735389E+01  6.0874710E-02  1.0000369E+00  1.0000360E+00  1.0000356E+00  5.6851184E-04  
1.0677236E-02  8.3176377E+00  1.0000009E+00  1.0000013E+00  1.0735822E+01  1.0735363E+01  6.1438027E-02  1.0000377E+00  1.0000368E+00  1.0000364E+00  5.7859727E-04  
1.0875754E-02  8.2413812E+00  1.0000009E+00  1.0000014E+00  1.0735803E+01  1.0735336E+01  6.2006558E-02  1.0000385E+00  1.0000376E+00  1.0000371E+00  5.8884907E-04  
1.1077964E-02  8.1658237E+00  1.0000009E+00  1.0000014E+00  1.0735785E+01  1.0735309E+01  6.2580350E-02  1.0000394E+00  1.0000384E+00  1.0000379E+00  5.9926857E-04  
1.1283933E-02  8.0909590E+00  1.0000010E+00  1.0000015E+00  1.0735765E+01  1.0735281E+01  6.3159454E-02  1.0000402E+00  1.0000392E+00  1.0000387E+00  6.0985953E-04  
1.1493733E-02  8.0167806E+00  1.0000010E+00  1.0000016E+00  1.0735746E+01  1.0735253E+01  6.3743917E-02  1.0000411E+00  1.0000401E+00  1.0000395E+00  6.2062339E-04  
1.1707433E-02  7.9432823E+00  1.0000011E+00  1.0000016E+00  1.0735726E+01  1.0735224E+01  6.4333790E-02  1.0000420E+00  1.0000409E+00  1.0000404E+00  6.3155689E-04  
1.1925108E-02  7.8704579E+00  1.0000011E+00  1.0000017E+00  1.0735705E+01  1.0735194E+01  6.4929123E-02  1.0000429E+00  1.0000418E+00  1.0000412E+00  6.4266898E-04  
1.2146829E-02  7.7983011E+00  1.0000012E+00  1.0000018E+00  1.0735685E+01  1.0735164E+01  6.5529966E-02  1.0000438E+00  1.0000427E+00  1.0000421E+00  6.5395450E-04  
1.2372674E-02  7.7268059E+00  1.0000012E+00  1.0000019E+00  1.0735663E+01  1.0735133E+01  6.6136370E-02  1.0000448E+00  1.0000436E+00  1.0000429E+00  6.6542148E-04  
1.2602718E-02  7.6559661E+00  1.0000013E+00  1.0000019E+00  1.0735642E+01  1.0735102E+01  6.6748387E-02  1.0000458E+00  1.0000445E+00  1.0000438E+00  6.7706905E-04  
1.2837039E-02  7.5857758E+00  1.0000014E+00  1.0000020E+00  1.0735620E+01  1.0735070E+01  6.7366069E-02  1.0000468E+00  1.0000454E+00  1.0000447E+00  6.8890105E-04  
1.3075718E-02  7.5162289E+00  1.0000014E+00  1.0000021E+00  1.0735597E+01  1.0735038E+01  6.7989468E-02  1.0000478E+00  1.0000464E+00  1.0000456E+00  7.0092151E-04  
1.3318834E-02  7.4473197E+00  1.0000015E+00  1.0000022E+00  1.0735574E+01  1.0735005E+01  6.8618638E-02  1.0000488E+00  1.0000473E+00  1.0000466E+00  7.1313087E-04  
