#T_gam (MeV)   rate_m/rate_0
1.0000000E-10  0.0000000E+00
9.9000000E-03  0.0000000E+00
1.0000000E-02  2.3844261E-36
1.0232930E-02  2.1424219E-35
1.0471285E-02  1.8420777E-34
1.0715193E-02  1.4955839E-33
1.0964782E-02  1.1524484E-32
1.1220185E-02  8.4955350E-32
1.1481536E-02  5.9566488E-31
1.1748976E-02  3.9815640E-30
1.2022644E-02  2.5392009E-29
1.2302688E-02  1.5483425E-28
1.2589254E-02  9.0357934E-28
1.2882496E-02  5.0504113E-27
1.3182567E-02  2.7031836E-26
1.3489629E-02  1.3868214E-25
1.3803843E-02  6.8680227E-25
1.4125375E-02  3.2533833E-24
1.4454398E-02  1.4900109E-23
1.4791084E-02  6.5578829E-23
1.5135612E-02  2.7723736E-22
1.5488166E-02  1.1383290E-21
1.5848932E-02  4.4964537E-21
1.6218101E-02  1.7175789E-20
1.6595869E-02  6.3443159E-20
1.6982437E-02  2.2092574E-19
1.7378008E-02  7.8505659E-19
1.7782794E-02  2.6334721E-18
1.8197009E-02  8.5723151E-18
1.8620871E-02  2.7085541E-17
1.9054607E-02  8.2958845E-17
1.9498446E-02  2.4757369E-16
1.9952623E-02  7.1883471E-16
2.0417379E-02  2.0253946E-15
2.0892961E-02  5.5807327E-15
2.1379621E-02  1.4948701E-14
2.1877616E-02  3.9041933E-14
2.2387211E-02  9.9463568E-14
2.2908677E-02  2.4728740E-13
2.3442288E-02  6.0058733E-13
2.3988329E-02  1.4258566E-12
2.4547089E-02  3.3012559E-12
2.5118864E-02  7.4997079E-12
2.5703958E-02  1.6672299E-11
2.6302680E-02  3.6271859E-11
2.6915348E-02  7.7258613E-11
2.7542287E-02  1.6138692E-10
2.8183829E-02  3.3024212E-10
2.8840315E-02  6.6324709E-10
2.9512092E-02  1.3120110E-09
3.0199517E-02  2.4739345E-09
3.0902954E-02  4.7663814E-09
3.1622777E-02  8.8552761E-09
3.2359366E-02  1.6127995E-08
3.3113112E-02  2.8833551E-08
3.3884416E-02  5.0358022E-08
3.4673685E-02  9.3132760E-08
3.5481339E-02  1.6068525E-07
3.6307805E-02  2.7324928E-07
3.7153523E-02  4.5722523E-07
3.8018940E-02  7.5383959E-07
3.8904514E-02  1.2252915E-06
3.9810717E-02  1.9629437E-06
4.0738028E-02  3.1052584E-06
4.1686938E-02  4.8495868E-06
4.2657952E-02  7.4771134E-06
4.3651583E-02  1.1385903E-05
4.4668359E-02  1.7115291E-05
4.5708819E-02  2.5437463E-05
4.6773514E-02  3.7361571E-05
4.7863009E-02  5.4264487E-05
4.8977882E-02  7.7945178E-05
5.0118723E-02  9.1069707E-05
5.1286138E-02  1.5563372E-04
5.2480746E-02  2.1648978E-04
5.3703180E-02  2.9837593E-04
5.4954087E-02  5.9192574E-04
5.6234133E-02  7.5970827E-04
5.7543994E-02  9.6657492E-04
5.8884366E-02  1.2194491E-03
6.0255959E-02  1.5259208E-03
6.1659500E-02  1.8943158E-03
6.3095734E-02  2.1595808E-03
6.4565423E-02  2.7677075E-03
6.6069345E-02  3.5160909E-03
6.7608298E-02  4.4369667E-03
6.9183097E-02  5.5525352E-03
7.0794578E-02  6.8982194E-03
7.2443596E-02  8.5090563E-03
7.4131024E-02  1.0421824E-02
7.5857758E-02  1.2674753E-02
7.7624712E-02  1.5310538E-02
7.9432823E-02  1.8373027E-02
8.1283052E-02  2.1909506E-02
8.3176377E-02  2.5960618E-02
8.5113804E-02  3.0576838E-02
8.7096359E-02  3.5801268E-02
8.9125094E-02  4.1678735E-02
9.1201084E-02  4.8249141E-02
9.3325430E-02  5.5549066E-02
9.5499259E-02  6.3616298E-02
9.7723722E-02  7.2480133E-02
1.0000000E-01  8.2165015E-02
