#T_gam (MeV)   rate_m/rate_0
1.0000000E-10  0.0000000E+00
9.9000000E-03  0.0000000E+00
1.0000000E-02  7.8424514E-38
1.0232930E-02  7.2115858E-37
1.0471285E-02  6.2857771E-36
1.0715193E-02  5.1989860E-35
1.0964782E-02  4.0866681E-34
1.1220185E-02  3.0622548E-33
1.1481536E-02  2.1870803E-32
1.1748976E-02  1.4886789E-31
1.2022644E-02  9.6757564E-31
1.2302688E-02  6.0122690E-30
1.2589254E-02  3.5745481E-29
1.2882496E-02  2.0341585E-28
1.3182567E-02  1.1111318E-27
1.3489629E-02  5.8208409E-27
1.3803843E-02  2.9334198E-26
1.4125375E-02  1.4150116E-25
1.4454398E-02  6.6147105E-25
1.4791084E-02  2.9691046E-24
1.5135612E-02  1.2825751E-23
1.5488166E-02  5.3612636E-23
1.5848932E-02  2.1607927E-22
1.6218101E-02  8.4182969E-22
1.6595869E-02  3.1722905E-21
1.6982437E-02  1.1568958E-20
1.7378008E-02  4.0869197E-20
1.7782794E-02  1.3995544E-19
1.8197009E-02  4.6482753E-19
1.8620871E-02  1.4990615E-18
1.9054607E-02  4.6910300E-18
1.9498446E-02  1.4288011E-17
1.9952623E-02  4.2327017E-17
2.0417379E-02  1.2201623E-16
2.0892961E-02  3.4251570E-16
2.1379621E-02  9.3688943E-16
2.1877616E-02  2.4989615E-15
2.2387211E-02  6.5025279E-15
2.2908677E-02  1.6513366E-14
2.3442288E-02  4.0975838E-14
2.3988329E-02  9.9371361E-14
2.4547089E-02  2.3524099E-13
2.5118864E-02  5.4593055E-13
2.5703958E-02  1.2396657E-12
2.6302680E-02  2.7559484E-12
2.6915348E-02  6.0054363E-12
2.7542287E-02  1.2819061E-11
2.8183829E-02  2.6838568E-11
2.8840315E-02  5.5126463E-11
2.9512092E-02  1.1112538E-10
3.0199517E-02  2.2001741E-10
3.0902954E-02  4.2500320E-10
3.1622777E-02  8.0918932E-10
3.2359366E-02  1.5106189E-09
3.3113112E-02  2.7743715E-09
3.3884416E-02  4.9975895E-09
3.4673685E-02  9.2454073E-09
3.5481339E-02  1.6297212E-08
3.6307805E-02  2.8293706E-08
3.7153523E-02  4.8410185E-08
3.8018940E-02  8.1596075E-08
3.8904514E-02  1.3575758E-07
3.9810717E-02  2.2254109E-07
4.0738028E-02  3.6024807E-07
4.1686938E-02  5.7565412E-07
4.2657952E-02  9.0807789E-07
4.3651583E-02  1.4144753E-06
4.4668359E-02  2.1756414E-06
4.5708819E-02  3.3098901E-06
4.6773514E-02  4.9737059E-06
4.7863009E-02  7.3932292E-06
4.8977882E-02  1.0868678E-05
5.0118723E-02  1.5803004E-05
5.1286138E-02  2.2739399E-05
5.2480746E-02  3.2379102E-05
5.3703180E-02  4.5667214E-05
5.4954087E-02  6.3765507E-05
5.6234133E-02  8.8174567E-05
5.7543994E-02  9.4812775E-05
5.8884366E-02  1.4987167E-04
6.0255959E-02  1.7643256E-04
6.1659500E-02  2.3253017E-04
6.3095734E-02  3.8961408E-04
6.4565423E-02  5.1126692E-04
6.6069345E-02  6.6546386E-04
6.7608298E-02  8.5936217E-04
6.9183097E-02  1.1012771E-03
7.0794578E-02  1.4010268E-03
7.2443596E-02  1.7692948E-03
7.4131024E-02  2.2186602E-03
7.5857758E-02  2.7627940E-03
7.7624712E-02  3.4174708E-03
7.9432823E-02  4.1993224E-03
8.1283052E-02  5.1273980E-03
8.3176377E-02  6.2209249E-03
8.5113804E-02  7.5025467E-03
8.7096359E-02  8.9947534E-03
8.9125094E-02  1.0721865E-02
9.1201084E-02  1.2708240E-02
9.3325430E-02  1.4979966E-02
9.5499259E-02  1.7564154E-02
9.7723722E-02  2.0487162E-02
1.0000000E-01  2.3775536E-02
