# interacting QED pressure, [p^{(n)}] = MeV^4 (n = order of perturbative correction)
# results from Escudero, Jackson, Laine and Sandner ArXiv:2511.XXXXX with me = 0.51099895 MeV, alpha = 1/137.035999084
# columns: T_ga [MeV],   p^{(0)},   p^{(2)non-log},   p^{(2)log},   p^{(3)},   p^{(4)},   p^{(5)}
 0.000000000000e+00   +0.000000000000e+00   +0.0000e+00   +0.0000e+00   +0.0000e+00   +0.0000e+00   +0.0000e+00
 5.000000000000e-03   +1.370778389040e-10   -5.0742e-56   +4.0922e-98   +5.3241e-76   -1.8375e-15   -2.4336e-16
 5.004496068067e-03   +1.375715533727e-10   -5.5797e-56   +4.9259e-98   +6.1200e-76   -1.8442e-15   -2.4423e-16
 5.008996179059e-03   +1.380670460572e-10   -6.1351e-56   +5.9285e-98   +7.0341e-76   -1.8508e-15   -2.4511e-16
 5.013500336613e-03   +1.385643233621e-10   -6.7452e-56   +7.1340e-98   +8.0836e-76   -1.8575e-15   -2.4599e-16
 5.018008544366e-03   +1.390633917151e-10   -7.4153e-56   +8.5832e-98   +9.2886e-76   -1.8642e-15   -2.4688e-16
 5.022520805962e-03   +1.395642575670e-10   -8.1513e-56   +1.0325e-97   +1.0672e-75   -1.8709e-15   -2.4777e-16
 5.027037125044e-03   +1.400669273919e-10   -8.9597e-56   +1.2418e-97   +1.2260e-75   -1.8776e-15   -2.4866e-16
 5.031557505262e-03   +1.405714076871e-10   -9.8474e-56   +1.4934e-97   +1.4082e-75   -1.8844e-15   -2.4956e-16
 5.036081950267e-03   +1.410777049735e-10   -1.0822e-55   +1.7956e-97   +1.6173e-75   -1.8912e-15   -2.5046e-16
 5.040610463715e-03   +1.415858257953e-10   -1.1892e-55   +2.1585e-97   +1.8573e-75   -1.8980e-15   -2.5136e-16
 5.045143049263e-03   +1.420957767204e-10   -1.3067e-55   +2.5945e-97   +2.1326e-75   -1.9048e-15   -2.5226e-16
 5.049679710575e-03   +1.426075643403e-10   -1.4358e-55   +3.1179e-97   +2.4484e-75   -1.9117e-15   -2.5317e-16
 5.054220451314e-03   +1.431211952702e-10   -1.5774e-55   +3.7464e-97   +2.8106e-75   -1.9186e-15   -2.5408e-16
 5.058765275149e-03   +1.436366761491e-10   -1.7328e-55   +4.5007e-97   +3.2260e-75   -1.9255e-15   -2.5500e-16
 5.063314185751e-03   +1.441540136401e-10   -1.9034e-55   +5.4062e-97   +3.7023e-75   -1.9324e-15   -2.5592e-16
 5.067867186796e-03   +1.446732144302e-10   -2.0906e-55   +6.4927e-97   +4.2485e-75   -1.9394e-15   -2.5684e-16
 5.072424281961e-03   +1.451942852303e-10   -2.2961e-55   +7.7963e-97   +4.8746e-75   -1.9464e-15   -2.5777e-16
 5.076985474928e-03   +1.457172327758e-10   -2.5215e-55   +9.3600e-97   +5.5923e-75   -1.9534e-15   -2.5869e-16
 5.081550769382e-03   +1.462420638261e-10   -2.7688e-55   +1.1236e-96   +6.4149e-75   -1.9604e-15   -2.5963e-16
 5.086120169011e-03   +1.467687851650e-10   -3.0402e-55   +1.3485e-96   +7.3577e-75   -1.9675e-15   -2.6056e-16
 5.090693677506e-03   +1.472974036009e-10   -3.3378e-55   +1.6182e-96   +8.4379e-75   -1.9745e-15   -2.6150e-16
 5.095271298563e-03   +1.478279259664e-10   -3.6643e-55   +1.9415e-96   +9.6755e-75   -1.9817e-15   -2.6244e-16
 5.099853035878e-03   +1.483603591191e-10   -4.0225e-55   +2.3291e-96   +1.1093e-74   -1.9888e-15   -2.6338e-16
 5.104438893154e-03   +1.488947099410e-10   -4.4153e-55   +2.7935e-96   +1.2718e-74   -1.9960e-15   -2.6433e-16
 5.109028874096e-03   +1.494309853390e-10   -4.8460e-55   +3.3500e-96   +1.4578e-74   -2.0031e-15   -2.6529e-16
 5.113622982410e-03   +1.499691922448e-10   -5.3184e-55   +4.0168e-96   +1.6708e-74   -2.0104e-15   -2.6624e-16
 5.118221221810e-03   +1.505093376152e-10   -5.8363e-55   +4.8155e-96   +1.9147e-74   -2.0176e-15   -2.6720e-16
 5.122823596009e-03   +1.510514284320e-10   -6.4041e-55   +5.7720e-96   +2.1939e-74   -2.0249e-15   -2.6816e-16
 5.127430108725e-03   +1.515954717021e-10   -7.0266e-55   +6.9174e-96   +2.5136e-74   -2.0322e-15   -2.6913e-16
 5.132040763681e-03   +1.521414744577e-10   -7.7090e-55   +8.2888e-96   +2.8795e-74   -2.0395e-15   -2.7010e-16
 5.136655564600e-03   +1.526894437563e-10   -8.4569e-55   +9.9305e-96   +3.2982e-74   -2.0468e-15   -2.7107e-16
 5.141274515211e-03   +1.532393866807e-10   -9.2767e-55   +1.1895e-95   +3.7774e-74   -2.0542e-15   -2.7205e-16
 5.145897619245e-03   +1.537913103394e-10   -1.0175e-54   +1.4247e-95   +4.3257e-74   -2.0616e-15   -2.7303e-16
 5.150524880437e-03   +1.543452218665e-10   -1.1160e-54   +1.7061e-95   +4.9531e-74   -2.0690e-15   -2.7401e-16
 5.155156302526e-03   +1.549011284217e-10   -1.2239e-54   +2.0426e-95   +5.6707e-74   -2.0765e-15   -2.7500e-16
 5.159791889252e-03   +1.554590371904e-10   -1.3421e-54   +2.4452e-95   +6.4914e-74   -2.0839e-15   -2.7599e-16
 5.164431644361e-03   +1.560189553841e-10   -1.4716e-54   +2.9267e-95   +7.4301e-74   -2.0915e-15   -2.7698e-16
 5.169075571601e-03   +1.565808902401e-10   -1.6135e-54   +3.5025e-95   +8.5035e-74   -2.0990e-15   -2.7798e-16
 5.173723674724e-03   +1.571448490218e-10   -1.7689e-54   +4.1908e-95   +9.7308e-74   -2.1065e-15   -2.7898e-16
 5.178375957484e-03   +1.577108390189e-10   -1.9391e-54   +5.0136e-95   +1.1134e-73   -2.1141e-15   -2.7999e-16
 5.183032423640e-03   +1.582788675473e-10   -2.1255e-54   +5.9970e-95   +1.2738e-73   -2.1217e-15   -2.8099e-16
 5.187693076954e-03   +1.588489419490e-10   -2.3297e-54   +7.1721e-95   +1.4571e-73   -2.1294e-15   -2.8201e-16
 5.192357921191e-03   +1.594210695927e-10   -2.5533e-54   +8.5762e-95   +1.6666e-73   -2.1371e-15   -2.8302e-16
 5.197026960119e-03   +1.599952578736e-10   -2.7982e-54   +1.0253e-94   +1.9060e-73   -2.1448e-15   -2.8404e-16
 5.201700197511e-03   +1.605715142136e-10   -3.0662e-54   +1.2257e-94   +2.1795e-73   -2.1525e-15   -2.8506e-16
 5.206377637141e-03   +1.611498460611e-10   -3.3597e-54   +1.4649e-94   +2.4920e-73   -2.1602e-15   -2.8609e-16
 5.211059282789e-03   +1.617302608916e-10   -3.6810e-54   +1.7506e-94   +2.8490e-73   -2.1680e-15   -2.8712e-16
 5.215745138236e-03   +1.623127662073e-10   -4.0327e-54   +2.0916e-94   +3.2567e-73   -2.1758e-15   -2.8815e-16
 5.220435207269e-03   +1.628973695376e-10   -4.4176e-54   +2.4987e-94   +3.7223e-73   -2.1837e-15   -2.8919e-16
 5.225129493675e-03   +1.634840784389e-10   -4.8389e-54   +2.9846e-94   +4.2539e-73   -2.1915e-15   -2.9024e-16
 5.229828001247e-03   +1.640729004949e-10   -5.2999e-54   +3.5643e-94   +4.8610e-73   -2.1994e-15   -2.9128e-16
 5.234530733782e-03   +1.646638433165e-10   -5.8045e-54   +4.2560e-94   +5.5539e-73   -2.2073e-15   -2.9233e-16
 5.239237695077e-03   +1.652569145421e-10   -6.3565e-54   +5.0811e-94   +6.3449e-73   -2.2153e-15   -2.9338e-16
 5.243948888936e-03   +1.658521218375e-10   -6.9605e-54   +6.0653e-94   +7.2478e-73   -2.2233e-15   -2.9444e-16
 5.248664319165e-03   +1.664494728964e-10   -7.6213e-54   +7.2388e-94   +8.2781e-73   -2.2313e-15   -2.9550e-16
